
request_reference	date_of_collection	cargo_description	item_category	origin_country	origin_latitude	origin_longitude	destination_country	destination_latitude	destination_longitude	carrier	freight_carrier_cost	kuehne_nagel	scan_global_logistics	dhl_express	dhl_global	bwosi	agl	siginon	frieght_in_time	weight_kg	volume_cbm	initial_quote_awarded	final_quote_awarded_freight_forwader_carrier	comments	date_of_arrival_destination	delivery_status	mode_of_shipment
SR_24-001_NBO hub_Zimbabwe	11-Jan-24	Cholera kits and Tents	Emergency Health Kits	Kenya	-1.2404475	36.990054	Zimbabwe	-17.80269125	31.08848075	Kenya Airways	18681	18681	19500	0	0	0	0	0	0	7352.98	24.68	Kuehne Nagel	Kenya Airways	Kenya Airways via Kuehne Nagel	17-Jan-24	Delivered	Air
SR_24-002_NBO hub_Zambia	11-Jan-24	Cholera kits ORS Body bags Masks and Glucometers	Emergency Health Kits	Kenya	-1.2404475	36.990054	Zambia	-15.4136414	28.3174378	Kenya Airways	35000	59500	42000	0	0	0	0	0	29972	14397.00	50.88	Kuehne Nagel	Kenya Airways	Kenya Airways via Kuehne Nagel	01-Dec-24	Delivered	Air
SR_24-004_NBO hub_Zambia	02-Feb-24	Tents Gloves PPEs and Drugs	Field Support Material	Kenya	-1.2404475	36.990054	Zambia	-15.4136414	28.3174378	Kenya Airways	56800	0	58000	0	0	0	0	0	0	10168.00	59.02	KQ Direct charter	KQ Direct charter	KQ Direct charter	02-Jun-24	Delivered	Air
SR_24-008_NBO hub_Madagascar	08-Feb-24	Laboratory Items	Lab & Diagnostics	Kenya	-1.2404475	36.990054	Madagascar	-18.71204234	47.50866443	Kenya Airways	466	466	1029	0	0	0	0	0	574	179.33	2.71	Kuehne Nagel	Kenya Airways	Kenya Airways via Kuehne Nagel	02-Sept-24	Delivered	Air
SR_24-011_NBO hub_Comoros	15-Feb-24	Laboratory items Kit Cholera and Sprayers	Lab & Diagnostics	Kenya	-1.2404475	36.990054	Comoros	-11.7209701	43.2413774	Kenya Airways	3480.00	679	781	0	0	0	0	0	521	1289.00	5.93	Freight in Time	Kenya Airways	Kenya Airways via Freight in Time	16-Feb-24	Delivered	Air
SR_24-015_NBO hub_DRC	22-Feb-24	Emergency Health Supplies	Emergency Health Kits	Kenya	-1.2404475	36.990054	Congo Democratic Republic	-4.1617017	21.7168471	DHL Express	12500	0	0	12500	14200	0	15800	0	0	8900.00	32.15	DHL Express	DHL Express	Emergency shipment via DHL Express	25-Feb-24	Delivered	Air
SR_24-018_NBO hub_Tanzania	28-Feb-24	Medical Equipment and Supplies	Lab & Diagnostics	Kenya	-1.2404475	36.990054	Tanzania	-6.3702	34.8888	Scan Global Logistics	8750	0	8750	9200	9800	0	10500	8900	0	5200.00	18.40	Scan Global Logistics	Scan Global Logistics	Cost effective solution via Scan Global	05-Mar-24	Delivered	Road
SR_24-021_NBO hub_Ethiopia	05-Mar-24	Cholera Response Kit	Emergency Health Kits	Kenya	-1.2404475	36.990054	Ethiopia	9.1450	40.4897	AGL	4200	0	0	0	0	0	4200	4800	0	2100.00	8.50	AGL	AGL	Regional specialist AGL handling	08-Mar-24	Delivered	Road
SR_24-025_NBO hub_South Sudan	12-Mar-24	Field Hospital Equipment	Field Support Material	Kenya	-1.2404475	36.990054	South Sudan	4.8594	31.5713	Siginon Logistics	15600	0	0	0	0	0	16200	15600	17000	9800.00	42.30	Siginon Logistics	Siginon Logistics	Specialized handling by Siginon	18-Mar-24	Delivered	Road
SR_24-028_NBO hub_Uganda	18-Mar-24	Emergency Medicines	Emergency Health Kits	Kenya	-1.2404475	36.990054	Uganda	1.3733	32.2903	Freight in Time	3800	0	0	0	0	0	0	0	3800	1950.00	6.20	Freight in Time	Freight in Time	Quick delivery via Freight in Time	20-Mar-24	Delivered	Road
SR_24-032_NBO hub_Rwanda	25-Mar-24	Laboratory Diagnostic Kits	Lab & Diagnostics	Kenya	-1.2404475	36.990054	Rwanda	-1.9441	30.0619	DHL Global	7200	0	0	0	7200	0	7800	0	0	3400.00	12.80	DHL Global	DHL Global	Express service via DHL Global	28-Mar-24	Delivered	Air
SR_24-035_NBO hub_Burundi	01-Apr-24	Emergency Response Supplies	Emergency Health Kits	Kenya	-1.2404475	36.990054	Burundi	-3.3731	29.9189	BWOSI	5500	0	0	0	0	5500	6000	0	0	2800.00	9.60	BWOSI	BWOSI	Regional carrier BWOSI handling	05-Apr-24	Delivered	Road
SR_24-038_NBO hub_Somalia	08-Apr-24	Medical Emergency Kit	Emergency Health Kits	Kenya	-1.2404475	36.990054	Somalia	5.1521	46.1996	Kuehne Nagel	9200	9200	9800	0	0	0	0	0	0	4600.00	15.20	Kuehne Nagel	Kuehne Nagel	Security clearance via Kuehne Nagel	12-Apr-24	Delivered	Air
SR_24-042_NBO hub_Chad	15-Apr-24	Field Support Equipment	Field Support Material	Kenya	-1.2404475	36.990054	Chad	15.4542	18.7322	DHL Express	18900	0	0	18900	20100	0	21500	0	0	12400.00	48.60	DHL Express	DHL Express	Long haul express via DHL	22-Apr-24	Delivered	Air
SR_24-045_NBO hub_CAR	22-Apr-24	Emergency Health Supplies	Emergency Health Kits	Kenya	-1.2404475	36.990054	Central African Republic	6.6111	20.9394	Scan Global Logistics	14200	0	14200	15800	16200	0	17000	0	0	8900.00	35.40	Scan Global Logistics	Scan Global Logistics	Complex route via Scan Global	30-Apr-24	Delivered	Air
